origin,destination,count,delay
SFO,CLT,1818,624
SFO,MSP,2449,754
SEA,MSP,2547,978
LAS,MCI,1608,632
SEA,MIA,344,160
MSP,FLL,611,194
DEN,MIA,1342,608
PHX,ORD,4416,1686
SLC,ATL,2549,739
LAS,HNL,811,455
PHX,DFW,4146,1628
ORD,PHX,4419,1674
ONT,SFO,2174,726
HNL,KOA,6390,2218
ORD,IAH,4186,1995
DFW,MIA,3672,1768
BOS,MIA,2317,820
MKE,IAH,871,335
PDX,PHX,3098,977
IAH,MIA,2883,1284
BOI,SFO,1397,554
BJI,MSP,667,172
BNA,ATL,3231,1001
PHL,IAH,2176,845
PDX,DEN,3423,1140
DEN,DFW,6135,2555
EUG,DEN,631,243
SFO,DEN,5066,1995
ORD,DEN,5613,2854
IAD,IAH,1399,578
SMF,DEN,2391,789
PHX,DTW,2717,962
ATL,IAD,2622,887
MFR,DEN,525,164
IDA,DEN,905,333
SEA,IAH,2204,762
JFK,MIA,3594,1359
CHS,EWR,1274,483
MKE,DEN,2009,633
DEN,LAX,5688,2769
SBA,DEN,650,183
IND,PHX,1306,414
CLE,IAH,1151,373
LAX,DFW,6649,2526
MCI,IAH,1698,677
RIC,IAH,526,223
BFL,DEN,610,184
OMA,IAH,1166,519
RDM,DEN,480,169
FLL,BDL,945,402
MCO,LAX,2414,872
SEA,DFW,3545,1492
LAN,ORD,877,306
BUF,EWR,531,189
ORD,LGA,9575,3640
ONT,DEN,1176,420
PHX,IAH,3273,1133
SMF,PHX,3164,1099
OAK,PHX,2532,1121
RNO,DEN,1364,394
PIT,IAH,902,301
ABQ,HOU,934,345
PDX,IAH,774,258
MCO,PHX,1287,454
SFO,PHX,4856,1676
DFW,MCO,3826,1616
MIA,PHL,2663,1184
SLC,DFW,2990,1067
BWI,MIA,1098,401
MCI,DFW,2561,952
LGA,MIA,6308,2231
LAS,DFW,4289,1498
SMF,DFW,1326,454
OMA,DFW,1363,426
OKC,DFW,2711,822
GEG,SEA,3178,1305
PBI,JFK,1910,825
FLL,LGA,5307,2217
JAX,JFK,964,373
DCA,BOS,7686,2586
RNO,SLC,953,253
BOS,MSP,1821,651
PHX,ATL,3644,1181
MCO,LGA,3916,1599
FLL,JFK,4432,1659
TYS,DFW,1624,791
SAV,EWR,660,300
CLT,ORD,4641,1871
ERI,ORD,638,249
SFO,IAH,3426,1629
ATL,TTN,325,194
RDU,JFK,1597,620
ACY,RSW,483,209
DTW,LGA,4429,1874
DFW,FLL,2696,1205
RAP,DEN,563,194
TUS,SFO,636,261
FSD,ORD,2023,809
FAT,SEA,883,349
BOI,LAX,682,291
SPI,ORD,998,318
CLD,LAX,641,225
FAT,SFO,1191,423
PSC,DEN,703,289
CPR,DEN,956,292
ACV,SFO,1320,449
DAL,IAH,481,208
DFW,DEN,6058,2484
FAT,DEN,1012,403
PSP,SFO,2145,762
PSP,DEN,985,368
CAE,IAD,194,78
PHX,DEN,7204,2849
SMF,IAH,647,246
BOS,PHX,1428,623
DFW,PHX,4144,1513
PBI,BOS,1606,822
MCO,JFK,5346,2253
RDU,ATL,4712,1396
TUS,IAH,1152,442
MCI,DEN,2124,884
OKC,LAX,316,164
MTJ,DEN,461,110
RSW,DTW,1614,555
RIC,ORD,2088,765
SJC,SLC,1678,387
EWR,CLT,4145,1326
PHX,MSP,4058,1342
GUC,DEN,279,108
MIA,LGA,6318,2631
MLU,IAH,793,265
KOA,HNL,6347,2470
CMH,ATL,3266,861
FLL,EWR,3441,1168
DCA,DTW,1713,576
SMF,SLC,1479,501
LAW,DFW,1331,429
CHS,IAH,584,225
MEM,IAH,1691,623
SLC,DEN,6184,2295
DCA,JFK,996,452
COS,IAH,894,373
LAR,DEN,581,132
DRO,PHX,698,241
FAT,PHX,471,156
ITO,HNL,4794,1621
PBI,LGA,2905,1301
BUF,CLT,1206,428
RDU,MIA,1016,393
DCA,MSP,1654,494
CAE,IAH,289,98
PSP,SLC,747,172
HLN,DEN,335,112
MCO,IAH,2613,1034
FAT,SLC,856,235
MIA,EWR,2714,1122
MDW,PHX,2259,875
IAD,DFW,1343,417
CLT,DFW,4046,1522
PHL,DFW,3625,1281
RDU,DFW,1611,505
FAI,SEA,1316,399
FLL,BOS,2184,991
RSW,BOS,1634,753
BWI,MSP,1039,302
BWI,ORD,2466,992
SBA,PHX,1027,281
TWF,SLC,815,213
BDL,ORD,1490,525
LAX,PHX,7330,3567
EWR,PHX,2103,771
AUS,IAH,2079,814
SFO,EWR,5025,1766
JFK,PHX,2326,848
SAN,PHX,5123,2085
ONT,PHX,2971,1264
PBI,ORD,580,199
EWR,DFW,2604,799
JFK,LAX,12016,3857
BOS,PIT,1158,352
SEA,ATL,2672,889
BPT,DFW,973,407
TPA,DEN,1586,419
RSW,DEN,387,137
ACY,MYR,334,66
STC,ORD,83,38
MSP,LAX,3093,1209
JFK,MSY,1110,347
MIA,ORD,4156,1548
JAX,DFW,1255,360
PVD,MCO,2023,590
JFK,LAS,3703,1283
ORD,EWR,3874,1659
BLI,SEA,249,118
SLC,SJC,1671,404
BDL,MIA,376,154
SHV,DFW,2280,951
BTR,DFW,2333,1077
CHS,MIA,255,71
LGA,FLL,5304,2098
MSN,ORD,3181,998
BUF,ORD,2008,696
OKC,ATL,1976,469
MSP,MIA,846,257
MIA,DCA,2974,1296
ATL,LGA,8234,3217
LNK,DEN,765,221
DEN,MSP,5504,2177
LAS,DEN,6265,2310
PHX,LAX,7380,3443
ATL,IAH,3806,1280
EKO,SLC,531,112
IAD,JFK,950,322
PHX,SFO,4863,1921
PHX,DAL,1457,714
PHL,PHX,2411,912
BOS,DFW,3073,1003
DFW,TPA,2500,939
ORD,TPA,2434,1054
PSP,IAH,287,137
HYS,DEN,573,193
HNL,ITO,4794,1866
DTW,LAS,2933,962
ABQ,DAL,1581,756
MIA,DEN,1349,667
BWI,DFW,1773,636
TTN,RDU,278,88
ABQ,ORD,552,176
ALB,ORD,872,281
DFW,CLT,4044,1531
BOS,ORD,6551,2417
SNA,DEN,3331,1173
CLE,PHX,726,302
DCA,DAL,2515,652
MCO,SFO,799,249
EWR,DEN,2643,973
SLC,PHX,5479,1766
BOI,PHX,1089,383
DCA,PHX,976,421
BOS,LAX,4055,1511
MIA,LAS,1396,451
DFW,BNA,2751,912
FAT,DFW,617,260
MIA,IAH,2884,1097
EWR,SEA,1491,437
PDX,SEA,1849,686
BUR,SEA,1011,312
SLC,LAX,5549,2357
SAN,OGG,381,122
BOS,JAX,690,239
ORF,ATL,2673,551
RDU,BOS,1526,527
JFK,MCO,5349,1918
LFT,IAH,2173,752
SHV,ATL,2032,746
PVD,ORD,542,215
DEN,MCO,2901,1193
DFW,DSM,857,330
ATL,FLL,7419,2711
IAH,LAS,2769,1034
FLL,MCO,667,290
SAN,SLC,2266,570
SEA,PDX,1851,741
SBA,SFO,2097,732
BOI,ORD,546,255
BTR,IAH,2321,748
BTV,ORD,537,202
FLL,BWI,3961,1197
SFO,BOI,1403,637
MCO,LAS,941,293
OAK,HOU,632,264
SAT,ELP,804,267
RDU,CLT,2128,817
MKE,PHX,1413,434
BWI,PHX,1603,620
ORF,DFW,631,194
IND,DFW,1593,442
FSD,DFW,357,163
LIH,HNL,5855,2080
SHV,IAH,1473,505
MCO,BOS,2848,1192
GUM,HNL,334,136
ONT,MDW,325,105
DCA,DEN,1321,549
TPA,DTW,2134,671
ASE,ORD,621,261
HNL,OGG,8282,3277
MSY,CLT,1471,533
BOI,DEN,1922,710
MIA,SFO,1022,416
AUS,LAX,2597,912
RNO,DFW,748,276
CLT,ATL,6307,2149
PHX,JFK,2327,921
CLE,LGA,2682,937
MHK,ORD,649,198
TUS,LAX,2633,1144
MRY,LAX,1529,623
ASE,LAX,774,331
DTW,IAH,2010,799
ORD,MKE,4824,1883
SFO,LAS,7995,2978
DFW,PHL,3625,1351
IAD,MIA,809,381
SEA,SFO,6845,2630
OAK,OGG,668,233
IAH,MCO,2610,1262
ORF,ORD,831,371
LAX,CLD,640,203
JNU,KTN,334,79
EWR,IAH,3340,1389
PHX,IAD,335,31
DTW,PHX,2715,926
ABQ,DFW,1797,617
PSP,DFW,724,231
BNA,DFW,2750,805
SEA,LAS,5009,2078
SEA,PHX,5768,2275
FLL,MSP,612,210
RAP,DFW,522,225
BRD,MSP,587,201
TUS,DEN,1879,626
HNL,LIH,5856,2029
TPA,JFK,2550,917
LGA,IAH,2298,727
ATL,SFO,3126,917
BNA,SLC,346,95
CLT,PHX,2842,1215
STL,PHX,2128,727
SFO,LAX,13744,6431
DFW,MCI,2560,941
DFW,LAS,4289,1583
MSP,PIT,481,157
HPN,ORD,1799,597
LBB,IAH,1067,357
ORD,ATL,6391,2452
SGF,ORD,2034,796
COU,ORD,648,232
FLL,DTW,2624,730
RDM,LAX,240,90
HLN,SLC,870,194
SFO,SMF,1623,600
BOS,DEN,2398,1008
FLL,DEN,1216,363
LAS,LAX,9715,4974
SEA,KTN,1320,583
JNU,ANC,1033,390
SEA,DEN,5099,2114
LAX,SMF,5550,2586
OGG,HNL,8313,3765
TPA,ATL,7083,2103
DFW,SJC,1512,501
RDU,ORD,1950,720
SFO,ATL,3127,874
TTN,CVG,3,3
MEM,ORD,2231,753
OKC,ORD,1807,686
FLL,ATL,7411,1912
SLC,IAH,2000,810
LAX,SAN,4611,1817
IAD,ORD,1745,638
BOI,IAH,335,130
FLL,IAH,1849,519
ORD,DSM,3290,1282
BNA,CLT,1292,566
DAL,PHX,1463,633
PIT,LAS,598,138
DFW,IND,1594,554
TPA,ORD,2427,844
FLL,DFW,2709,837
MIA,ATL,5150,1675
EWR,DAY,754,282
ELM,ORD,606,252
SYR,ORD,1623,509
