origin,destination,count,1,2,3,4,5,6,7,8,9,10,11,12
ANC,SEA,6383,0,0,0,0,10,0,0,10,10,10,10,0
PHX,DFW,4146,0,1,1,1,1,1,0,0,10,10,0,1
MAF,IAH,2068,2,1,1,1,1,1,0,2,10,10,2,1
SGF,DFW,2221,1,1,1,1,1,1,0,0,10,10,1,1
RDD,SFO,727,0,1,2,10,10,0,1,10,0,10,10,1
CHS,DFW,252,0,1,1,1,0,10,10,10,10,10,10,10
SMX,LAX,249,0,1,10,10,10,10,10,10,10,10,10,10
ABI,DFW,2329,1,1,1,1,1,10,1,0,10,10,1,1
XNA,DFW,2224,1,1,1,1,1,0,0,0,10,10,1,1
DCA,DFW,3178,1,1,1,10,1,2,0,2,10,10,1,1
LGA,DFW,4520,1,1,1,0,1,0,0,0,0,10,1,1
MCO,DFW,3825,0,1,1,0,1,0,10,1,0,10,1,1
SFO,DFW,4555,1,1,1,0,1,0,0,0,0,10,0,1
ONT,DFW,1441,1,1,1,10,1,10,0,10,0,10,1,1
MSO,DEN,567,0,1,0,10,10,0,2,10,1,10,0,1
ORD,MIA,4166,0,1,0,0,0,0,1,0,0,10,1,1
MAF,DFW,1169,1,1,1,1,1,0,0,1,10,10,1,1
AMA,DFW,1202,0,1,1,1,0,1,10,10,10,10,10,1
CLL,DFW,1604,0,1,1,1,1,1,10,10,10,10,1,1
HOU,DFW,1569,1,1,1,1,1,1,0,0,0,10,0,0
DFW,BTR,2335,0,1,1,0,0,0,0,0,10,10,0,0
JLN,DFW,666,0,1,1,1,1,0,0,0,10,10,0,0
CID,DFW,1027,1,1,1,0,1,1,0,1,10,10,10,10
MLI,DFW,940,0,1,1,1,1,1,0,0,10,10,10,1
GSP,DFW,484,0,1,1,0,1,1,10,10,10,10,10,10
MHK,DFW,985,0,1,1,1,1,1,1,10,10,10,1,1
MOB,DFW,964,1,1,1,1,1,1,10,10,10,10,1,1
TLH,DFW,661,1,1,1,1,1,0,10,0,10,10,10,0
CVG,DFW,2097,1,1,1,1,1,1,2,0,1,10,1,1
CAE,DFW,965,0,1,0,10,0,0,10,10,0,10,0,0
TXK,DFW,978,1,1,1,1,1,0,10,10,10,10,0,0
CMX,ORD,668,1,1,1,1,0,1,0,1,1,10,1,1
SMF,SFO,1624,1,1,0,1,0,0,1,0,1,10,1,1
LRD,DFW,1281,1,1,1,1,0,1,0,10,2,10,0,0
MFE,DFW,1454,1,1,1,1,1,10,0,10,0,10,1,1
FSM,DFW,1299,1,1,1,0,0,0,10,0,10,10,0,0
AEX,DFW,987,1,1,1,1,1,1,0,10,0,10,1,1
SPS,DFW,1234,1,1,1,0,0,1,0,0,10,10,10,1
ACT,DFW,1612,0,1,1,1,1,0,0,0,10,10,0,0
SJT,DFW,1628,1,1,1,1,1,1,0,0,10,10,1,1
JAN,DFW,2278,0,1,1,0,0,0,0,0,10,10,1,0
BNA,DFW,2750,0,1,1,0,1,1,0,0,0,10,0,1
MAF,DEN,1088,1,1,1,1,10,1,10,0,10,10,1,1
DTW,DFW,2646,1,1,1,1,1,0,0,0,0,10,0,1
DFW,DCA,3177,1,1,1,10,1,2,0,2,10,10,1,1
FAR,DFW,366,1,1,1,10,1,10,0,10,10,10,0,1
MSN,DFW,940,0,1,1,1,1,0,0,10,10,10,0,1
SJC,DFW,1511,1,1,1,1,1,10,0,10,10,10,1,1
SAV,DFW,727,0,1,1,0,0,1,10,0,10,10,10,10
GRI,DFW,634,1,1,1,0,1,1,0,0,10,10,10,1
LAX,AUS,2614,0,1,10,10,0,0,0,0,0,10,1,1
